Order_ID,Order_Date,Carrier,Route,Region,Shipment_Type,Promised_TAT_Days,Actual_TAT_Days,On_Time,In_Full,OTIF,Freight_Cost_INR,Service_Failure_Reason,TAT_Delay
ORD100000,2024-12-12,BlueDart,Mumbai-Chennai,West,Economy,7,7,TRUE,TRUE,TRUE,230.4,None,0
ORD100001,2024-10-14,BlueDart,Bhopal-Indore,Central,Economy,7,7,TRUE,FALSE,FALSE,207.62,Weather Delay,0
ORD100002,2024-04-20,DTDC,Kolkata-Delhi,North,Standard,3,7,FALSE,TRUE,FALSE,768.17,Vehicle Breakdown,4
ORD100003,2024-05-15,BlueDart,Jaipur-Ahmedabad,North,Express,2,2,TRUE,TRUE,TRUE,823.47,None,0
ORD100004,2024-12-04,XpressBees,Delhi-Mumbai,North,Economy,6,8,FALSE,TRUE,FALSE,422.26,Weather Delay,2
ORD100005,2024-12-09,Ekart,Kolkata-Delhi,North,Express,1,3,FALSE,TRUE,FALSE,1232.85,Vehicle Breakdown,2
ORD100006,2024-08-24,BlueDart,Chennai-Pune,South,Economy,8,8,TRUE,TRUE,TRUE,208.77,None,0
ORD100007,2024-01-17,Ekart,Lucknow-Patna,East,Economy,8,11,FALSE,TRUE,FALSE,360.49,None,3
ORD100008,2024-11-25,XpressBees,Jaipur-Ahmedabad,North,Standard,3,3,TRUE,TRUE,TRUE,581.47,None,0
ORD100009,2024-10-26,Delhivery,Surat-Nagpur,West,Standard,3,3,TRUE,TRUE,TRUE,453.51,None,0
ORD100010,2024-11-01,DTDC,Lucknow-Patna,East,Standard,4,6,FALSE,FALSE,FALSE,680.38,Customs Hold,2
ORD100011,2024-10-01,XpressBees,Mumbai-Chennai,West,Standard,5,6,FALSE,TRUE,FALSE,516.54,Driver Shortage,1
ORD100012,2024-05-14,Ekart,Chennai-Pune,South,Express,2,3,FALSE,TRUE,FALSE,765.55,Driver Shortage,1
ORD100013,2024-04-11,Delhivery,Bhopal-Indore,Central,Economy,6,6,TRUE,TRUE,TRUE,220.34,None,0
ORD100014,2024-07-04,Ekart,Bangalore-Hyderabad,South,Express,1,1,TRUE,TRUE,TRUE,784.02,None,0
ORD100015,2024-02-05,Delhivery,Chennai-Pune,South,Express,1,1,TRUE,TRUE,TRUE,847.62,None,0
ORD100016,2024-08-04,Delhivery,Bhopal-Indore,Central,Express,2,2,TRUE,TRUE,TRUE,913.31,None,0
ORD100017,2024-04-25,DTDC,Kolkata-Delhi,North,Economy,8,11,FALSE,TRUE,FALSE,419.05,Vehicle Breakdown,3
ORD100018,2024-02-04,Ekart,Mumbai-Chennai,West,Express,1,1,TRUE,FALSE,FALSE,885.33,None,0
ORD100019,2024-05-04,Ekart,Delhi-Mumbai,North,Express,1,4,FALSE,TRUE,FALSE,1237.93,Customs Hold,3
ORD100020,2024-11-30,XpressBees,Surat-Nagpur,West,Express,1,2,FALSE,TRUE,FALSE,1078.01,None,1
ORD100021,2024-04-08,BlueDart,Mumbai-Chennai,West,Standard,5,5,TRUE,TRUE,TRUE,414.83,None,0
ORD100022,2024-01-26,DTDC,Kolkata-Delhi,North,Standard,3,5,FALSE,TRUE,FALSE,832.26,Weather Delay,2
ORD100023,2024-07-24,BlueDart,Bhopal-Indore,Central,Express,1,1,TRUE,TRUE,TRUE,846.83,None,0
ORD100024,2024-10-11,Delhivery,Delhi-Mumbai,North,Standard,3,5,FALSE,TRUE,FALSE,661.31,Driver Shortage,2
